"station","year","month","po4f","nh4f","no2f","no3f","no23f","chla_n","po4f_cens","nh4f_cens","no2f_cens","no3f_cens","no23f_cens","chla_n_cens"
"acebbnut",2009,8,0.0745,0.0175,,,0.0965,6.43,0,0,,,0,0
"acebbnut",2009,9,0.017,0.0245,,,0.0065,7.06,0,0,,,0,0
"acebbnut",2009,10,0.0425,0.0595,,,0.0145,,0,0,,,0,
"acebbnut",2009,11,0.019,0.0335,,,0.009,5.41,0,0,,,0,0
"acebbnut",2009,12,0.0295,0.0545,,,0.023,5.895,0,0,,,0,0
"acebbnut",2010,1,0.013,0.01415,,,0.00925,6.03,0,0,,,0,0
"acebbnut",2010,2,0.021,0.02065,,,0.0109,6.6,0,0,,,0,0
"acebbnut",2010,3,0.0195,0.0137,,,0.0062,3.29,0,0,,,0,0
"acebbnut",2010,4,0.029,0.0254,,,0.0066,5.285,0,0,,,0,0
"acebbnut",2010,5,0.03,0.05085,,,0.01375,6.43,0,0,,,0,0
"acebbnut",2010,6,0.031,0.0477,,,0.0118,7.57,0,0,,,0,0
"acebbnut",2010,7,0.046,0.0503,,,0.0114,7.335,0,0,,,0,0
"acebbnut",2010,8,0.051,0.0492,,,0.0138,7.355,0,0,,,0,0
"acebbnut",2010,9,0.0285,0.0421,,,0.0593,8.425,0,0,,,0,0
"acebbnut",2010,10,0.0225,0.0227,,,0.03205,9.78,0,0,,,0,0
"acebbnut",2010,11,0.0255,0.02825,,,0.0108,6.065,0,0,,,0,0
"acebbnut",2010,12,0.03,0.05515,,,0.01655,4.415,0,0,,,0,0
"acebbnut",2011,1,0.0135,0.00965,,,0.0052,5.34,0,0,,,0,0
"acebbnut",2011,2,0.0175,0.01575,,,0.0057,3.055,0,0,,,0,0
"acebbnut",2011,3,0.0225,0.01485,,,0.0059,4.595,0,0,,,0,0
"acebbnut",2011,4,0.0235,0.05895,,,0.01085,4.155,0,0,,,0,0
"acebbnut",2011,5,0.0375,0.0707,,,0.01545,5.795,0,0,,,0,0
"acebbnut",2011,6,0.051,0.0596,,,0.0107,6.825,0,0,,,0,0
"acebbnut",2011,7,0.045,0.07305,,,0.0272,5.75,0,0,,,0,0
"acebbnut",2011,8,0.061,0.07095,,,0.02555,6.475,0,0,,,0,0
"acebbnut",2011,9,0.0265,0.0391,,,0.01165,3.915,0,0,,,0,0
"acebbnut",2011,10,0.0255,0.06975,,,0.0212,4.425,0,0,,,0,0
"acebbnut",2011,11,0.0345,0.06105,,,0.0164,1.605,0,0,,,0,0
"acebbnut",2011,12,0.0135,0.02765,,,0.0058,6.36,0,0,,,0,0
"acebbnut",2012,1,0.04,0.05825,,,0.0102,1.66,0,0,,,0,0
"acebbnut",2012,2,0.024,0.03935,,,0.0067,1.895,0,0,,,0,0
"acebbnut",2012,3,,0.07275,,,0.0218,4.605,,0,,,0,0
"acebbnut",2012,4,0.025,0.06845,,,0.0164,4.65,0,0,,,0,0
"acebbnut",2012,5,0.0345,0.1105,,,0.0219,5.12,0,0,,,0,0
"acebbnut",2012,6,0.0475,0.127,,,0.02435,5.58,0,0,,,0,0
"acebbnut",2012,7,0.0515,0.10175,,,0.0503,5.77,0,0,,,0,0
"acebbnut",2012,8,0.0465,0.07395,,,0.08835,9.225,0,0,,,0,0
"acebbnut",2012,9,0.044,0.0829,,,0.0512,6.22,0,0,,,0,0
"acebbnut",2012,10,0.0345,0.0568,,,0.01475,3.615,0,0,,,0,0
"acebbnut",2012,11,0.029,0.06155,,,0.00595,3.11,0,0,,,0,0
"acebbnut",2012,12,0.03,0.04745,,,0.0072,4.37,0,0,,,0,0
"acebbnut",2013,1,0.0275,0.04075,,,0.0071,3.8,0,0,,,0,0
"acebbnut",2013,2,0.0245,0.03195,,,0.00475,2.85,0,0,,,0,0
"acebbnut",2013,3,0.0185,0.028,,,0.0049,6.4,0,0,,,0,0
"acebbnut",2013,4,0.02,0.04565,,,0.00785,4.55,0,0,,,0,0
"acebbnut",2013,5,0.03,0.0764,,,0.01525,4.4,0,0,,,0,0
"acebbnut",2013,6,0.0515,0.128,,,0.02255,,0,0,,,0,
"acebbnut",2013,7,0.0415,0.0615,,,0.06825,7,0,0,,,0,0
"acebbnut",2013,8,0.0625,0.0658,,,0.057,6.2,0,0,,,0,0
"acebbnut",2013,9,0.032,0.04035,,,0.00795,6.7,0,0,,,0,0
"acebbnut",2013,10,0.0375,0.05915,,,0.0097,4.7,0,0,,,0,0
"acebbnut",2013,11,0.016,0.0197,,,0.00605,,0,0,,,0,
"acebbnut",2013,12,0.0325,0.03565,,,0.0059,4.85,0,0,,,0,0
"acebbnut",2014,1,0.0375,0.04915,,,0.00475,3.71,0,0,,,0,0
"acebbnut",2014,2,0.015,0.03085,,,0.004,,0,0,,,0,
"acebbnut",2014,3,0.0195,0.0307,,,0.00395,6.28,0,0,,,0,0
"acebbnut",2014,4,0.0215,0.0357,,,0.00625,5.145,0,0,,,0,0
"acebbnut",2014,5,0.028,0.08535,,,0.00475,4.805,0,0,,,0,0
"acebbnut",2014,6,0.0445,0.07595,,,0.01025,10.685,0,0,,,0,0
"acebbnut",2014,7,0.05,0.06165,,,0.00955,7.37,0,0,,,0,0
"acebbnut",2014,8,0.071,0.0869,,,0.01945,,0,0,,,0,
"acebbnut",2014,9,0.033,0.0522,,,0.01085,,0,0,,,0,
"acebbnut",2014,10,0.029,0.0279,,,0.00525,,0,0,,,0,
"acebbnut",2014,11,0.0315,0.0361,,,0.00785,,0,0,,,0,
"acebbnut",2014,12,0.026,0.03905,,,0.01015,,0,0,,,0,
"aceeinut",2015,1,0.02995,0.03,,,0.0082,,0,0,,,0,
"aceeinut",2015,2,0.0408,0.0315,,,0.0056,,0,0,,,0,
"aceeinut",2015,3,0.018,0.02135,,,0.0021,,0,0,,,1,
"aceeinut",2015,4,0.0366,0.002,,,0.0099,,0,1,,,0,
"aceeinut",2015,5,0.01935,0.03675,,,0.00555,,0,0,,,0,
"aceeinut",2015,6,0.02575,0.0414,,,0.0292,,0,0,,,0,
"aceeinut",2015,7,0.0177,0.0247,,,0.0025,,0,0,,,0,
"aceeinut",2015,8,0.04125,0.02805,,,0.0232,,0,0,,,0,
"aceeinut",2015,9,0.0348,0.04155,,,0.03105,,0,0,,,0,
"aceeinut",2015,10,,,,,,,,,,,,
"aceeinut",2015,11,,,,,,,,,,,,
"aceeinut",2015,12,,0.0182,,,0.0121,,,0,,,0,
"aceeinut",2016,1,0.02745,0.03715,,,0.0261,2.915,0,0,,,0,0
"aceeinut",2016,2,0.02445,0.05795,,,0.04,6.125,0,0,,,0,0
"aceeinut",2016,3,0.0132,0.04115,,,0.01585,6.76,0,0,,,0,0
"aceeinut",2016,4,0.0171,0.0222,,,0.03935,7.58,0,0,,,0,0
"aceeinut",2016,5,0.0328,0.06615,,,0.02815,4.755,0,0,,,0,0
"aceeinut",2016,6,0.03095,,,,,7.15,0,,,,,0
"aceeinut",2016,7,0.0307,0.0249,,,0.0272,2.04,0,0,,,0,0
"aceeinut",2016,8,0.0402,0.0279,,,0.0392,9.34,0,0,,,0,0
"aceeinut",2016,9,0.0382,0.0772,,,0.03765,3.37,0,0,,,0,0
"aceeinut",2016,10,0.0321,0.06505,,,0.0265,2.385,0,0,,,0,0
"aceeinut",2016,11,0.058,0.0194,,,0.03205,4.895,0,0,,,0,0
"aceeinut",2016,12,0.02695,0.027,,,0.03425,5.95,0,0,,,0,0
"aceeinut",2017,1,0.02655,0.02435,,,0.02265,3.3,0,0,,,0,0
"aceeinut",2017,2,0.0223,0.0251,,,0.0118,4.5,0,0,,,0,0
"aceeinut",2017,3,0.0247,0.01555,,,0.02775,3.8,0,0,,,0,0
"aceeinut",2017,4,0.0885,,,,0.01875,5.45,0,,,,0,0
"aceeinut",2017,5,0.0814,0.073,,,0.0315,6.85,0,0,,,0,0
"aceeinut",2017,6,0.257,0.11625,,,0.0495,6.75,0,0,,,0,0
"aceeinut",2017,7,0.09895,0.03115,,,0.0396,9,0,0,,,0,0
"aceeinut",2017,8,0.07965,,,,0.04175,9.1,0,,,,0,0
"aceeinut",2017,9,0.0795,0.0627,,,0.04055,6.6,0,0,,,0,0
"aceeinut",2017,10,0.082,0.0614,,,0.0438,5.25,0,0,,,0,0
"aceeinut",2017,11,0.08265,0.0684,,,0.04445,3.75,0,0,,,0,0
"aceeinut",2017,12,0.08775,0.02285,,,0.06065,5.05,0,0,,,0,0
"aceeinut",2018,1,0.00625,,,,,10.355,0,,,,,0
"aceeinut",2018,2,0.0139,0.019,,,,7.25,0,0,,,,0
"aceeinut",2018,3,0.0111,0.0105,,,,6.79,0,0,,,,0
"aceeinut",2018,4,0.0139,,,,0.01285,10.03,0,,,,0,0
"aceeinut",2018,5,,,,,,4.71,,,,,,0
"aceeinut",2018,6,0.02085,0.0345,,,,6.455,0,0,,,,0
"aceeinut",2018,7,0.026,0.0135,,,,,0,0,,,,
"aceeinut",2018,8,0.0242,0.009,,,,9.205,0,0,,,,0
"aceeinut",2018,9,0.03445,0.019,,,,10.43,0,0,,,,0
"aceeinut",2018,10,0.0385,0.0275,,,0.04065,7.14,0,0,,,0,0
"aceeinut",2018,11,0.0262,0.027,,,,6.02,0,0,,,,0
"aceeinut",2018,12,0.0184,0.031,,,0.02855,7.575,0,0,,,0,0
"aceeinut",2019,1,0.02,0.041,,,0.0308,5.15,0,0,,,0,0
"aceeinut",2019,2,0.01065,0.0075,,,,7.35,0,0,,,,0
"aceeinut",2019,3,0.0123,0.0105,,,0.0094,7.4,0,0,,,0,0
"aceeinut",2019,4,0.0091,0.003,,,0.00825,9.35,0,0,,,0,0
"aceeinut",2019,5,,,,,0.01055,10.45,,,,,0,0
"aceeinut",2019,6,,,,,0.0292,6,,,,,0,0
"aceeinut",2019,7,0.03245,0.026,,,0.05815,8.3,0,0,,,0,0
"aceeinut",2019,8,0.0498,0.013,,,0.04735,15.5,0,1,,,0,0
"aceeinut",2019,9,0.0404,0.062,,,0.0646,6.75,0,0,,,0,0
"aceeinut",2019,10,,,,,,5.05,,,,,,0
"aceeinut",2019,11,0.01505,0.013,,,0.0096,7.5,0,1,,,0,0
"aceeinut",2019,12,0.0261,0.015,,,0.0205,5.45,0,0,,,0,0
"aceeinut",2020,1,0.0174,0.028,,,0.0165,,0,0,,,0,
"aceeinut",2020,2,0.0161,0.018,,,0.01805,5.8,0,0,,,0,0
"aceeinut",2020,3,,,,,,4.05,,,,,,0
"aceeinut",2020,6,,,,,,13.1,,,,,,0
"aceeinut",2020,7,0.02345,0.0135,,,,13.1,0,0,,,,0
"aceeinut",2020,8,0.0269,0.053,,,,7.65,0,0,,,,0
"aceeinut",2020,9,0.0255,0.0465,,,0.0443,7.1,0,0,,,0,0
"aceeinut",2020,10,0.02525,0.06,,,0.0322,4.3,0,0,,,0,0
"aceeinut",2020,11,0.0231,0.0365,,,0.0223,9.65,0,0,,,0,0
"aceeinut",2020,12,0.02085,0.0165,,,0.0165,5.75,0,0,,,0,0
"aceeinut",2021,1,0.0152,0.013,,,0.01115,9.4,0,0,,,0,0
"aceeinut",2021,2,,,,,,5.9,,,,,,0
"aceeinut",2021,3,0.01025,0.009,,,0.0064,7.4,0,1,,,0,0
"aceeinut",2021,4,0.0118,0.0115,,,0.00645,5.55,0,0,,,0,0
"aceeinut",2021,5,0.0151,0.0165,,,0.01205,7.15,0,0,,,0,0
"aceeinut",2021,6,0.02655,0.032,,,0.02365,8.4,0,0,,,0,0
"aceeinut",2021,7,0.02545,0.009,,,0.00705,9.6,0,1,,,0,0
"aceeinut",2021,8,0.02955,0.009,,,0.03955,12.4,0,1,,,0,0
"aceeinut",2021,9,0.0253,0.013,,,0.0211,10.9,0,0,,,0,0
"aceeinut",2021,10,0.02905,0.0155,,,0.03205,5.65,0,0,,,0,0
"aceeinut",2021,11,0.02685,0.019,,,0.02725,6.15,0,0,,,0,0
"aceeinut",2021,12,0.01265,0.009,,,0.003,7.9,0,1,,,0,0
"aceeinut",2022,1,,,,,,,,,,,,
"aceeinut",2022,2,0.0103,0.009,,,0.0019,6.3,0,0,,,1,0
"aceeinut",2022,3,0.0128,0.009,,,0.0019,8.4,0,0,,,0,0
"aceeinut",2022,4,0.0126,0.009,,,,6.25,0,0,,,,0
"aceeinut",2022,5,0.01525,0.009,,,0.0078,4.45,0,0,,,0,0
"aceeinut",2022,6,0.0224,0.0185,,,0.00625,8.9,0,0,,,0,0
"aceeinut",2022,7,0.0307,0.031,,,0.01135,7.25,0,0,,,0,0
"aceeinut",2022,8,0.0421,0.02,,,0.0427,8.1,0,0,,,0,0
"aceeinut",2022,9,0.0346,0.03,,,0.0333,6.9,0,0,,,0,0
"aceeinut",2022,10,,,,,,,,,,,,
"aceeinut",2022,11,0.01685,0.0245,,,0.012,3.75,0,0,,,0,0
"aceeinut",2022,12,0.0161,0.0215,,,0.0356,7.5,0,0,,,0,0
"acefcnut",2002,3,0.0418,0.0336,,,0.0398,27.931,0,0,,,0,0
"acefcnut",2002,4,0.0729,0.0986,0.001,0.045,0.046,34.633,0,0,0,0,0,0
"acefcnut",2002,5,0.0537,0.0448,0.0022,0.0282,0.0304,11.965,0,0,0,0,0,0
"acefcnut",2002,6,0.0562,0.108,0.0013,,0.0196,14.676,0,0,0,,0,0
"acefcnut",2002,7,0.079,0.0857,0.002,,0.0616,20.995,0,0,0,,0,0
"acefcnut",2002,8,0.1068,0.1109,0.0045,0.0951,0.0996,24.742,0,0,0,0,0,0
"acefcnut",2002,9,0.0894,0.0494,0.0029,,0.106,10.116,0,0,0,,0,0
"acefcnut",2002,10,0.0522,0.0033,0.0031,,0.06,5.367,0,0,0,,0,0
"acefcnut",2002,11,0.0522,0.0775,2e-04,,0.0686,4.187,0,0,1,,0,0
"acefcnut",2002,12,0.1026,0.0424,0.003,0.0946,0.0976,1.925,0,0,0,0,0,0
"acefcnut",2003,1,0.0911,0.0655,,,0.0381,2.387,0,0,,,0,0
"acefcnut",2003,2,0.0717,7e-04,0.004,0.0915,0.0955,10.696,0,1,0,0,0,0
"acefcnut",2003,3,0.0369,0.0028,0.002,,0.025,3.493,0,0,0,,0,0
"acefcnut",2003,4,0.0447,0.0041,0.0019,,,6.07,0,0,0,,,0
"acefcnut",2003,5,0.1406,0.0071,0.0164,0.18,0.1964,8.42,0,0,0,0,0,0
"acefcnut",2003,6,0.0224,0.0574,,,0.0144,9.9,0,0,,,0,0
"acefcnut",2003,7,0.1034,0.2021,,,0.0463,8.443,0,0,,,0,0
"acefcnut",2003,8,0.1359,0.0083,,,0.0809,12.954,0,0,,,0,0
"acefcnut",2003,9,0.071,0.0012,,,0.0301,7.569,0,0,,,0,0
"acefcnut",2003,10,0.0672,8e-04,,,0.0632,7.809,0,0,,,0,0
"acefcnut",2003,11,0.0478,7e-04,,,0.0254,7.902,0,1,,,0,0
"acefcnut",2003,12,0.0756,0.0063,,,0.045,2.461,0,0,,,0,0
"acefcnut",2004,1,0.05095,0.0201,,,0.04965,6.412,0,0,,,0,0
"acefcnut",2004,2,0.0422,0.0146,,,0.01245,2.6925,0,0,,,0,0
"acefcnut",2004,3,0.54335,0.0269,,,0.014,5.3575,0,0,,,0,0
"acefcnut",2004,4,0.067,0.0467,,,0.0336,318,0,0,,,0,0
"acefcnut",2004,5,0.04025,7e-04,,,0.0253,27.1195,0,1,,,0,0
"acefcnut",2004,6,0.0525,0.0031,,,0.0213,10.736,0,0,,,0,0
"acefcnut",2004,7,0.0711,0.2496,,,0.038,19.558,0,0,,,0,0
"acefcnut",2004,8,0.38195,0.0638,,,0.0752,14.5545,0,0,,,0,0
"acefcnut",2004,9,0.09215,0.0067,,,0.09495,20.8275,0,0,,,0,0
"acefcnut",2004,10,0.07885,0.02415,,,0.09385,8.17,0,0,,,0,0
"acefcnut",2004,11,0.1213,0.0031,,,0.02145,10.045,0,0,,,0,0
"acefcnut",2004,12,0.12655,0.00075,,,0.08205,2.69,0,1,,,0,0
"acefcnut",2005,1,0.072,7e-04,,,0.036,1.26,0,1,,,0,0
"acefcnut",2005,2,0.0635,0.013,,,0.021,6.491,0,0,,,0,0
"acefcnut",2005,3,0.0525,0.04,,,0.01,6.1825,0,0,,,0,0
"acefcnut",2005,4,0.1265,0.074,,,0.029,11.3845,0,0,,,0,0
"acefcnut",2005,5,0.076,0.0075,,,0.044,75.0795,0,0,,,0,0
"acefcnut",2005,6,0.089,0.08,,,0.0565,6.224,0,0,,,0,0
"acefcnut",2005,7,0.173,0.113,,,0.066,27.304,0,0,,,0,0
"acefcnut",2005,8,0.1295,0.124,,,0.077,9.594,0,0,,,0,0
"acefcnut",2005,9,0.125,0.0315,,,0.028,12.3895,0,0,,,0,0
"acefcnut",2005,10,0.1705,0.0695,,,0.038,9.104,0,0,,,0,0
"acefcnut",2005,11,0.07,0.055,,,0.0455,10.74,0,0,,,0,0
"acefcnut",2005,12,0.108,0.003,,,0.027,4.3915,0,0,,,0,0
"acefcnut",2006,1,0.1403,0.0314,,,0.0106,3.3,0,0,,,0,0
"acefcnut",2006,2,0.1047,0.06065,,,0.0461,5.35,0,0,,,0,0
"acefcnut",2006,3,0.0425,0.01515,,,0.0442,10.25,0,0,,,0,0
"acefcnut",2006,4,0.0551,0.08485,,,0.0287,16,0,0,,,0,0
"acefcnut",2006,5,0.07565,0.05115,,,0.04455,14.85,0,0,,,0,0
"acefcnut",2006,6,0.099,0.0694,,,0.0416,24.05,0,0,,,0,0
"acefcnut",2006,7,0.1345,0.10055,,,0.0549,21.75,0,0,,,0,0
"acefcnut",2006,8,0.14365,0.0695,,,0.0828,21.4,0,0,,,0,0
"acefcnut",2006,9,0.0914,0.04825,,,0.02455,16.8,0,0,,,0,0
"acefcnut",2006,10,0.1429,0.0899,,,0.04645,5.9,0,0,,,0,0
"acefcnut",2006,11,0.06475,0.03365,,,0.05325,6.8,0,0,,,0,0
"acefcnut",2006,12,0.0973,0.03105,,,0.02305,3.45,0,0,,,0,0
"acefcnut",2007,1,0.113,0.0275,,,0.021,2.25,0,0,,,0,0
"acefcnut",2007,2,0.08,0.0245,,,0.018,9.2,0,0,,,0,0
"acefcnut",2007,3,0.067,0.047,,,0.014,7.45,0,0,,,0,0
"acefcnut",2007,4,0.0565,6e-04,,,0.005,,0,1,,,0,
"acefcnut",2007,5,0.034,0.0085,,,0.017,29,0,0,,,0,0
"acefcnut",2007,6,0.07,0.0345,,,0.013,36.55,0,0,,,0,0
"acefcnut",2007,7,0.117,0.144,,,0.0335,18,0,0,,,0,0
"acefcnut",2007,8,0.168,0.087,,,0.04,31.45,0,0,,,0,0
"acefcnut",2007,9,0.1025,0.044,,,0.0435,31.45,0,0,,,0,0
"acefcnut",2007,10,0.198,0.0515,,,0.073,11.6,0,0,,,0,0
"acefcnut",2007,11,0.1155,0.021,,,0.016,34.55,0,0,,,0,0
"acefcnut",2007,12,0.1745,0.156,,,0.0635,2.6,0,0,,,0,0
"acefcnut",2008,1,0.145,0.11925,,,0.2073,5.1,0,0,,,0,0
"acefcnut",2008,2,,0.0659,,,,3.49,,0,,,,0
"acefcnut",2008,3,,0.02345,,,,26.165,,0,,,,0
"acefcnut",2008,4,0.077,0.0076,,,0.00285,16.635,0,0,,,0,0
"acefcnut",2008,5,0.0325,0.03965,,,0.0208,,0,0,,,0,
"acefcnut",2008,6,0.083,0.1492,,,0.03635,14.325,0,0,,,0,0
"acefcnut",2008,7,0.107,0.04475,,,0.037,17,0,0,,,0,0
"acefcnut",2008,8,0.09365,0.026,,,0.0253,,0,0,,,0,
"acefcnut",2008,9,0.12935,0.07935,,,0.0297,25.165,0,0,,,0,0
"acefcnut",2008,10,0.0438,0.03825,,,0.04445,5.57,0,0,,,0,0
"acefcnut",2008,11,0.0562,0.03925,,,0.05015,4,0,0,,,0,0
"acefcnut",2008,12,0.0647,0.05805,,,0.01305,6.85,0,0,,,0,0
"acefcnut",2009,1,0.091,0.042,,,0.031,,0,0,,,0,
